Route,A1: No geometry (flat r),A2: No mode-specific coef.,A3: No activity dependence,A4: Additive composition,Full model
R10,3.1250286827860907,2.7094206769358697,2.9154721648447346,1.5518225578523226,1.5432372758548474
R1,5.382326756658151,2.2041228376946664,0.990257555194396,1.6078405059105516,1.6078405059105516
R7,5.871819509861131,2.4082518385339813,1.08258993575151,1.7572436712334882,1.7572436712334882
R4,3.285222351114958,3.2181464541657268,3.718900555465554,1.9010874835048819,1.8900868409034932
R5,3.8520448388301376,4.15504900192476,5.599330106090861,3.162782827629751,3.1380183676427253
R3,5.006474071156752,6.935586380139858,12.40926417868905,6.953473792867237,6.927317197123905
R8,4.658378642160832,7.078567052164697,12.9847997026883,7.153465078155696,7.137994282127725
R2,4.728244947386018,7.106003898085056,12.996273040374717,7.174906763949096,7.157936123946628
R9,0.9913896501285047,4.002054612089778,8.778449738706462,9.083763132388789,8.867591368489869
R11,0.23708334142202858,6.503826946387859,15.005467513396297,15.005467513396297,15.005467513396297
R6,0.2458534031934856,6.736410795234993,15.51573291472279,15.51573291472279,15.51573291472279
