Route,1,2,3,4,5,6,7,8,9,10,11
R10,66.42,33.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,33.58,63.12,3.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R7,0.0,0.0,76.4,23.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R4,0.0,3.3000000000000003,20.3,76.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
R3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
R8,0.0,0.0,0.0,0.0,0.0,0.0,94.56,5.4399999999999995,0.0,0.0,0.0
R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.7,6.3,0.0,0.0
R9,0.0,0.0,0.0,0.0,0.0,0.0,5.4399999999999995,0.86,93.7,0.0,0.0
R11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
R6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
